2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 172.20.10.46 -> 13.107.21.239 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
2023-16-04/25/23 14:16:04 | 13.107.21.239 -> 172.20.10.46 | Protocol: 6
